ratio,lambda1,lambda2,lambda3,svm_acc_te,dr_acc_vtr,dr_acc_te,acc_trtr,acc_vtr,acc_te
0.8,0.1,0.1,0.1,84.707,83.327,82.404,1,0.80269,0.79292
0.8,0.1,0.1,1,84.707,83.327,82.404,1,0.81536,0.80264
0.8,0.1,0.1,10,84.707,83.327,82.404,1,0.83417,0.82076
0.8,0.1,0.1,100,84.707,83.327,82.404,1,0.76839,0.75934
0.8,0.1,0.1,1000,84.707,83.327,82.404,1,0.76839,0.75934
0.8,0.1,1,0.1,84.707,83.327,82.404,1,0.79539,0.77572
0.8,0.1,1,1,84.707,83.327,82.404,1,0.79463,0.78503
0.8,0.1,1,10,84.707,83.327,82.404,1,0.79309,0.78616
0.8,0.1,1,100,84.707,83.327,82.404,1,0.8453,0.83427
0.8,0.1,1,1000,84.707,83.327,82.404,1,0.76839,0.75934
0.8,0.1,10,0.1,84.707,83.327,82.404,1,0.7245,0.71512
0.8,0.1,10,1,84.707,83.327,82.404,1,0.78375,0.77715
0.8,0.1,10,10,84.707,83.327,82.404,0.99997,0.77134,0.76415
0.8,0.1,10,100,84.707,83.327,82.404,1,0.77249,0.76354
0.8,0.1,10,1000,84.707,83.327,82.404,1,0.81177,0.80141
0.8,0.1,100,0.1,84.707,83.327,82.404,0.83409,0.83442,0.82352
0.8,0.1,100,1,84.707,83.327,82.404,0.83998,0.83941,0.82915
0.8,0.1,100,10,84.707,83.327,82.404,0.83611,0.8366,0.82793
0.8,0.1,100,100,84.707,83.327,82.404,0.83563,0.83672,0.82526
0.8,0.1,100,1000,84.707,83.327,82.404,0.83291,0.83263,0.82168
0.8,0.1,1000,0.1,84.707,83.327,82.404,0.82657,0.83468,0.82291
0.8,0.1,1000,1,84.707,83.327,82.404,0.82676,0.8366,0.82629
0.8,0.1,1000,10,84.707,83.327,82.404,0.82472,0.83417,0.82199
0.8,0.1,1000,100,84.707,83.327,82.404,0.82488,0.83186,0.82383
0.8,0.1,1000,1000,84.707,83.327,82.404,0.82452,0.8366,0.82363
0.8,1,0.1,0.1,84.707,83.327,82.404,1,0.78592,0.78084
0.8,1,0.1,1,84.707,83.327,82.404,1,0.7794,0.77715
0.8,1,0.1,10,84.707,83.327,82.404,1,0.83647,0.81881
0.8,1,0.1,100,84.707,83.327,82.404,1,0.76839,0.75934
0.8,1,0.1,1000,84.707,83.327,82.404,1,0.76839,0.75934
0.8,1,1,0.1,84.707,83.327,82.404,1,0.79232,0.78442
0.8,1,1,1,84.707,83.327,82.404,1,0.81561,0.80858
0.8,1,1,10,84.707,83.327,82.404,1,0.77646,0.76077
0.8,1,1,100,84.707,83.327,82.404,1,0.84517,0.83581
0.8,1,1,1000,84.707,83.327,82.404,1,0.76839,0.75934
0.8,1,10,0.1,84.707,83.327,82.404,1,0.78746,0.77828
0.8,1,10,1,84.707,83.327,82.404,1,0.773,0.76999
0.8,1,10,10,84.707,83.327,82.404,0.99958,0.79347,0.78053
0.8,1,10,100,84.707,83.327,82.404,0.9984,0.79962,0.79363
0.8,1,10,1000,84.707,83.327,82.404,1,0.84632,0.83468
0.8,1,100,0.1,84.707,83.327,82.404,0.83719,0.84005,0.82373
0.8,1,100,1,84.707,83.327,82.404,0.83422,0.83621,0.82598
0.8,1,100,10,84.707,83.327,82.404,0.83422,0.83429,0.82414
0.8,1,100,100,84.707,83.327,82.404,0.83847,0.83532,0.82547
0.8,1,100,1000,84.707,83.327,82.404,0.83691,0.83852,0.83028
0.8,1,1000,0.1,84.707,83.327,82.404,0.82692,0.83532,0.82588
0.8,1,1000,1,84.707,83.327,82.404,0.82619,0.83532,0.82547
0.8,1,1000,10,84.707,83.327,82.404,0.82971,0.8357,0.82506
0.8,1,1000,100,84.707,83.327,82.404,0.82852,0.83417,0.82618
0.8,1,1000,1000,84.707,83.327,82.404,0.82552,0.83493,0.82475
0.8,10,0.1,0.1,84.707,83.327,82.404,1,0.76635,0.76405
0.8,10,0.1,1,84.707,83.327,82.404,1,0.80461,0.79988
0.8,10,0.1,10,84.707,83.327,82.404,1,0.8174,0.80295
0.8,10,0.1,100,84.707,83.327,82.404,1,0.76839,0.75934
0.8,10,0.1,1000,84.707,83.327,82.404,1,0.76839,0.75934
0.8,10,1,0.1,84.707,83.327,82.404,1,0.78503,0.78186
0.8,10,1,1,84.707,83.327,82.404,1,0.77953,0.76743
0.8,10,1,10,84.707,83.327,82.404,1,0.82137,0.81359
0.8,10,1,100,84.707,83.327,82.404,1,0.83877,0.82588
0.8,10,1,1000,84.707,83.327,82.404,1,0.76839,0.75934
0.8,10,10,0.1,84.707,83.327,82.404,1,0.78375,0.77654
0.8,10,10,1,84.707,83.327,82.404,0.99955,0.7977,0.78872
0.8,10,10,10,84.707,83.327,82.404,0.99184,0.80781,0.79803
0.8,10,10,100,84.707,83.327,82.404,0.97204,0.82585,0.81871
0.8,10,10,1000,84.707,83.327,82.404,0.99987,0.84056,0.83253
0.8,10,100,0.1,84.707,83.327,82.404,0.83249,0.83301,0.82168
0.8,10,100,1,84.707,83.327,82.404,0.83198,0.83173,0.82219
0.8,10,100,10,84.707,83.327,82.404,0.83633,0.8357,0.82844
0.8,10,100,100,84.707,83.327,82.404,0.83607,0.83608,0.82547
0.8,10,100,1000,84.707,83.327,82.404,0.83022,0.83404,0.82434
0.8,10,1000,0.1,84.707,83.327,82.404,0.82897,0.83596,0.8268
0.8,10,1000,1,84.707,83.327,82.404,0.82731,0.83417,0.82598
0.8,10,1000,10,84.707,83.327,82.404,0.82801,0.83724,0.82537
0.8,10,1000,100,84.707,83.327,82.404,0.82734,0.83493,0.82404
0.8,10,1000,1000,84.707,83.327,82.404,0.82516,0.83378,0.82301
0.8,100,0.1,0.1,84.707,83.327,82.404,1,0.81152,0.80274
0.8,100,0.1,1,84.707,83.327,82.404,1,0.81113,0.80213
0.8,100,0.1,10,84.707,83.327,82.404,1,0.79603,0.78452
0.8,100,0.1,100,84.707,83.327,82.404,1,0.76839,0.75934
0.8,100,0.1,1000,84.707,83.327,82.404,1,0.76839,0.75934
0.8,100,1,0.1,84.707,83.327,82.404,1,0.78631,0.78053
0.8,100,1,1,84.707,83.327,82.404,1,0.78656,0.78002
0.8,100,1,10,84.707,83.327,82.404,1,0.81881,0.80796
0.8,100,1,100,84.707,83.327,82.404,1,0.81907,0.80274
0.8,100,1,1000,84.707,83.327,82.404,1,0.76839,0.75934
0.8,100,10,0.1,84.707,83.327,82.404,0.99981,0.79527,0.78524
0.8,100,10,1,84.707,83.327,82.404,0.99568,0.81497,0.80663
0.8,100,10,10,84.707,83.327,82.404,0.8624,0.83007,0.81533
0.8,100,10,100,84.707,83.327,82.404,0.84695,0.82994,0.82178
0.8,100,10,1000,84.707,83.327,82.404,0.83192,0.81267,0.79558
0.8,100,100,0.1,84.707,83.327,82.404,0.84074,0.83736,0.82967
0.8,100,100,1,84.707,83.327,82.404,0.83291,0.83276,0.82547
0.8,100,100,10,84.707,83.327,82.404,0.83092,0.83404,0.82557
0.8,100,100,100,84.707,83.327,82.404,0.81771,0.82418,0.81257
0.8,100,100,1000,84.707,83.327,82.404,0.81448,0.82457,0.8094
0.8,100,1000,0.1,84.707,83.327,82.404,0.82612,0.83519,0.82383
0.8,100,1000,1,84.707,83.327,82.404,0.82478,0.83289,0.82291
0.8,100,1000,10,84.707,83.327,82.404,0.82849,0.83647,0.82526
0.8,100,1000,100,84.707,83.327,82.404,0.82411,0.83289,0.82137
0.8,100,1000,1000,84.707,83.327,82.404,0.82277,0.83225,0.81933
0.8,1000,0.1,0.1,84.707,83.327,82.404,1,0.7524,0.74112
0.8,1000,0.1,1,84.707,83.327,82.404,1,0.82713,0.81922
0.8,1000,0.1,10,84.707,83.327,82.404,1,0.77684,0.76671
0.8,1000,0.1,100,84.707,83.327,82.404,1,0.76839,0.75934
0.8,1000,0.1,1000,84.707,83.327,82.404,1,0.76839,0.75934
0.8,1000,1,0.1,84.707,83.327,82.404,1,0.80409,0.79773
0.8,1000,1,1,84.707,83.327,82.404,1,0.76647,0.76825
0.8,1000,1,10,84.707,83.327,82.404,1,0.81612,0.80377
0.8,1000,1,100,84.707,83.327,82.404,0.79365,0.76955,0.76047
0.8,1000,1,1000,84.707,83.327,82.404,0.75981,0.76839,0.75934
0.8,1000,10,0.1,84.707,83.327,82.404,0.99501,0.81267,0.80899
0.8,1000,10,1,84.707,83.327,82.404,0.8863,0.8366,0.82537
