ratio,lambda1,lambda2,lambda3,svm_acc_te,dr_acc_vtr,dr_acc_te,acc_trtr,acc_vtr,acc_te
0.8,0.1,0.1,0.1,96.825,78.406,79.35,1,0.50719,0.4895
0.8,0.1,0.1,1,96.825,78.406,79.35,1,0.51094,0.50275
0.8,0.1,0.1,10,96.825,78.406,79.35,1,0.76375,0.771
0.8,0.1,0.1,100,96.825,78.406,79.35,1,0.76844,0.77475
0.8,0.1,0.1,1000,96.825,78.406,79.35,1,0.76906,0.774
0.8,0.1,1,0.1,96.825,78.406,79.35,1,0.50969,0.50725
0.8,0.1,1,1,96.825,78.406,79.35,1,0.50219,0.49275
0.8,0.1,1,10,96.825,78.406,79.35,1,0.51719,0.5085
0.8,0.1,1,100,96.825,78.406,79.35,1,0.76094,0.767
0.8,0.1,1,1000,96.825,78.406,79.35,1,0.76938,0.77425
0.8,0.1,10,0.1,96.825,78.406,79.35,0.99961,0.50875,0.519
0.8,0.1,10,1,96.825,78.406,79.35,1,0.505,0.48525
0.8,0.1,10,10,96.825,78.406,79.35,1,0.50031,0.511
0.8,0.1,10,100,96.825,78.406,79.35,1,0.55094,0.524
0.8,0.1,10,1000,96.825,78.406,79.35,1,0.7675,0.772
0.8,0.1,100,0.1,96.825,78.406,79.35,1,0.50187,0.50325
0.8,0.1,100,1,96.825,78.406,79.35,0.9993,0.5,0.5005
0.8,0.1,100,10,96.825,78.406,79.35,0.99906,0.50313,0.48575
0.8,0.1,100,100,96.825,78.406,79.35,0.99891,0.50406,0.50875
0.8,0.1,100,1000,96.825,78.406,79.35,1,0.59188,0.584
0.8,0.1,1000,0.1,96.825,78.406,79.35,0.5043,0.49094,0.4965
0.8,0.1,1000,1,96.825,78.406,79.35,0.50821,0.505,0.50525
0.8,0.1,1000,10,96.825,78.406,79.35,0.99828,0.49219,0.5055
0.8,0.1,1000,100,96.825,78.406,79.35,0.72968,0.49312,0.5065
0.8,0.1,1000,1000,96.825,78.406,79.35,0.99992,0.505,0.51575
0.8,1,0.1,0.1,96.825,78.406,79.35,1,0.49469,0.5125
0.8,1,0.1,1,96.825,78.406,79.35,1,0.51938,0.52125
0.8,1,0.1,10,96.825,78.406,79.35,1,0.78312,0.79
0.8,1,0.1,100,96.825,78.406,79.35,1,0.76906,0.774
0.8,1,0.1,1000,96.825,78.406,79.35,1,0.76844,0.77425
0.8,1,1,0.1,96.825,78.406,79.35,1,0.51656,0.5035
0.8,1,1,1,96.825,78.406,79.35,1,0.49656,0.5085
0.8,1,1,10,96.825,78.406,79.35,1,0.49156,0.508
0.8,1,1,100,96.825,78.406,79.35,1,0.76187,0.767
0.8,1,1,1000,96.825,78.406,79.35,1,0.76875,0.7745
0.8,1,10,0.1,96.825,78.406,79.35,1,0.49875,0.50075
0.8,1,10,1,96.825,78.406,79.35,1,0.5,0.5005
0.8,1,10,10,96.825,78.406,79.35,1,0.50969,0.48575
0.8,1,10,100,96.825,78.406,79.35,1,0.53906,0.534
0.8,1,10,1000,96.825,78.406,79.35,1,0.76375,0.7715
0.8,1,100,0.1,96.825,78.406,79.35,0.92552,0.50531,0.49575
0.8,1,100,1,96.825,78.406,79.35,1,0.515,0.51725
0.8,1,100,10,96.825,78.406,79.35,0.52149,0.48969,0.4965
0.8,1,100,100,96.825,78.406,79.35,1,0.49625,0.512
0.8,1,100,1000,96.825,78.406,79.35,1,0.78781,0.79875
0.8,1,1000,0.1,96.825,78.406,79.35,0.50922,0.49469,0.5055
0.8,1,1000,1,96.825,78.406,79.35,0.50883,0.4925,0.50825
0.8,1,1000,10,96.825,78.406,79.35,0.50946,0.49594,0.496
0.8,1,1000,100,96.825,78.406,79.35,0.50188,0.50687,0.49475
0.8,1,1000,1000,96.825,78.406,79.35,0.50735,0.49531,0.506
0.8,10,0.1,0.1,96.825,78.406,79.35,1,0.4925,0.49225
0.8,10,0.1,1,96.825,78.406,79.35,1,0.51562,0.51175
0.8,10,0.1,10,96.825,78.406,79.35,1,0.76469,0.76925
0.8,10,0.1,100,96.825,78.406,79.35,1,0.76875,0.77475
0.8,10,0.1,1000,96.825,78.406,79.35,1,0.76906,0.77425
0.8,10,1,0.1,96.825,78.406,79.35,1,0.50469,0.4945
0.8,10,1,1,96.825,78.406,79.35,1,0.50062,0.4805
0.8,10,1,10,96.825,78.406,79.35,1,0.56094,0.55
0.8,10,1,100,96.825,78.406,79.35,1,0.7675,0.772
0.8,10,1,1000,96.825,78.406,79.35,1,0.76969,0.775
0.8,10,10,0.1,96.825,78.406,79.35,0.99461,0.49812,0.5025
0.8,10,10,1,96.825,78.406,79.35,1,0.50656,0.51075
0.8,10,10,10,96.825,78.406,79.35,1,0.515,0.523
0.8,10,10,100,96.825,78.406,79.35,1,0.60031,0.6085
0.8,10,10,1000,96.825,78.406,79.35,1,0.77531,0.77925
0.8,10,100,0.1,96.825,78.406,79.35,0.51157,0.4975,0.50625
0.8,10,100,1,96.825,78.406,79.35,0.99789,0.50938,0.4975
0.8,10,100,10,96.825,78.406,79.35,0.50399,0.5075,0.49375
0.8,10,100,100,96.825,78.406,79.35,0.51571,0.50875,0.50725
0.8,10,100,1000,96.825,78.406,79.35,0.52071,0.49938,0.4945
0.8,10,1000,0.1,96.825,78.406,79.35,0.50649,0.52031,0.50475
0.8,10,1000,1,96.825,78.406,79.35,0.51,0.50125,0.50325
0.8,10,1000,10,96.825,78.406,79.35,0.50774,0.50406,0.50875
0.8,10,1000,100,96.825,78.406,79.35,0.50352,0.49594,0.49075
0.8,10,1000,1000,96.825,78.406,79.35,0.50492,0.50719,0.494
0.8,100,0.1,0.1,96.825,78.406,79.35,1,0.4975,0.497
0.8,100,0.1,1,96.825,78.406,79.35,1,0.50219,0.503
0.8,100,0.1,10,96.825,78.406,79.35,1,0.77594,0.78
0.8,100,0.1,100,96.825,78.406,79.35,1,0.76906,0.775
0.8,100,0.1,1000,96.825,78.406,79.35,1,0.76875,0.775
0.8,100,1,0.1,96.825,78.406,79.35,1,0.5075,0.51725
0.8,100,1,1,96.825,78.406,79.35,1,0.50281,0.50925
0.8,100,1,10,96.825,78.406,79.35,1,0.51656,0.51025
0.8,100,1,100,96.825,78.406,79.35,1,0.76344,0.77125
0.8,100,1,1000,96.825,78.406,79.35,1,0.76844,0.77425
0.8,100,10,0.1,96.825,78.406,79.35,0.97734,0.51625,0.49675
0.8,100,10,1,96.825,78.406,79.35,0.67083,0.50156,0.516
0.8,100,10,10,96.825,78.406,79.35,0.99898,0.51531,0.51
0.8,100,10,100,96.825,78.406,79.35,0.99969,0.52844,0.51775
0.8,100,10,1000,96.825,78.406,79.35,0.97101,0.49344,0.5065
0.8,100,100,0.1,96.825,78.406,79.35,0.50547,0.50375,0.499
0.8,100,100,1,96.825,78.406,79.35,0.51039,0.48531,0.49975
0.8,100,100,10,96.825,78.406,79.35,0.51219,0.50438,0.4945
0.8,100,100,100,96.825,78.406,79.35,0.50102,0.49844,0.49225
0.8,100,100,1000,96.825,78.406,79.35,0.50781,0.50281,0.48925
0.8,100,1000,0.1,96.825,78.406,79.35,0.50633,0.49281,0.511
0.8,100,1000,1,96.825,78.406,79.35,0.51227,0.5125,0.50025
0.8,100,1000,10,96.825,78.406,79.35,0.50867,0.50281,0.50825
0.8,100,1000,100,96.825,78.406,79.35,0.50508,0.5,0.50675
0.8,100,1000,1000,96.825,78.406,79.35,0.50688,0.49438,0.50725
0.8,1000,0.1,0.1,96.825,78.406,79.35,1,0.51438,0.51725
0.8,1000,0.1,1,96.825,78.406,79.35,1,0.49469,0.48775
0.8,1000,0.1,10,96.825,78.406,79.35,1,0.76812,0.77375
0.8,1000,0.1,100,96.825,78.406,79.35,1,0.77,0.775
0.8,1000,0.1,1000,96.825,78.406,79.35,1,0.76938,0.77575
0.8,1000,1,0.1,96.825,78.406,79.35,1,0.50938,0.51775
0.8,1000,1,1,96.825,78.406,79.35,0.99977,0.50219,0.5045
0.8,1000,1,10,96.825,78.406,79.35,0.98273,0.50813,0.5025
0.8,1000,1,100,96.825,78.406,79.35,0.71225,0.50719,0.4935
0.8,1000,1,1000,96.825,78.406,79.35,1,0.66531,0.67475
0.8,1000,10,0.1,96.825,78.406,79.35,0.99969,0.49688,0.50675
0.8,1000,10,1,96.825,78.406,79.35,0.9993,0.5175,0.512
0.8,1000,10,10,96.825,78.406,79.35,0.51883,0.50281,0.502
0.8,1000,10,100,96.825,78.406,79.35,0.50289,0.50313,0.48925
0.8,1000,10,1000,96.825,78.406,79.35,0.50219,0.5075,0.49325
0.8,1000,100,0.1,96.825,78.406,79.35,0.49469,0.5075,0.5135
0.8,1000,100,1,96.825,78.406,79.35,0.51368,0.49719,0.48
0.8,1000,100,10,96.825,78.406,79.35,0.50391,0.48812,0.50525
0.8,1000,100,100,96.825,78.406,79.35,0.5043,0.50906,0.51025
0.8,1000,100,1000,96.825,78.406,79.35,0.50203,0.50719,0.4935
0.8,1000,1000,0.1,96.825,78.406,79.35,0.50274,0.48688,0.5035
