ratio,lambda1,lambda2,lambda3,svm_acc_te,dr_acc_vtr,dr_acc_te,acc_trtr,acc_vtr,acc_te
0.8,0.1,0.1,0.1,96.825,78.406,79.35,1,0.58875,0.60125
0.8,0.1,0.1,1,96.825,78.406,79.35,1,0.79563,0.806
0.8,0.1,0.1,10,96.825,78.406,79.35,1,0.49219,0.50575
0.8,0.1,0.1,100,96.825,78.406,79.35,1,0.79,0.80025
0.8,0.1,0.1,1000,96.825,78.406,79.35,1,0.76313,0.76925
0.8,0.1,1,0.1,96.825,78.406,79.35,1,0.76219,0.77075
0.8,0.1,1,1,96.825,78.406,79.35,1,0.7875,0.8015
0.8,0.1,1,10,96.825,78.406,79.35,1,0.49281,0.507
0.8,0.1,1,100,96.825,78.406,79.35,1,0.55156,0.5395
0.8,0.1,1,1000,96.825,78.406,79.35,1,0.7725,0.77725
0.8,0.1,10,0.1,96.825,78.406,79.35,1,0.77031,0.78525
0.8,0.1,10,1,96.825,78.406,79.35,1,0.55094,0.5615
0.8,0.1,10,10,96.825,78.406,79.35,1,0.825,0.82125
0.8,0.1,10,100,96.825,78.406,79.35,1,0.79937,0.80825
0.8,0.1,10,1000,96.825,78.406,79.35,1,0.79438,0.805
0.8,0.1,100,0.1,96.825,78.406,79.35,1,0.77844,0.783
0.8,0.1,100,1,96.825,78.406,79.35,1,0.76562,0.78725
0.8,0.1,100,10,96.825,78.406,79.35,1,0.75687,0.77275
0.8,0.1,100,100,96.825,78.406,79.35,1,0.735,0.75425
0.8,0.1,100,1000,96.825,78.406,79.35,1,0.78656,0.789
0.8,0.1,1000,0.1,96.825,78.406,79.35,0.99977,0.71469,0.728
0.8,0.1,1000,1,96.825,78.406,79.35,0.99906,0.73687,0.7385
0.8,0.1,1000,10,96.825,78.406,79.35,0.99508,0.73094,0.741
0.8,0.1,1000,100,96.825,78.406,79.35,0.99922,0.72625,0.745
0.8,0.1,1000,1000,96.825,78.406,79.35,0.99203,0.77438,0.7885
0.8,1,0.1,0.1,96.825,78.406,79.35,1,0.60938,0.60825
0.8,1,0.1,1,96.825,78.406,79.35,1,0.49281,0.50675
0.8,1,0.1,10,96.825,78.406,79.35,1,0.49281,0.506
0.8,1,0.1,100,96.825,78.406,79.35,1,0.70219,0.704
0.8,1,0.1,1000,96.825,78.406,79.35,1,0.76781,0.774
0.8,1,1,0.1,96.825,78.406,79.35,1,0.71719,0.73325
0.8,1,1,1,96.825,78.406,79.35,1,0.65938,0.6535
0.8,1,1,10,96.825,78.406,79.35,1,0.49219,0.50575
0.8,1,1,100,96.825,78.406,79.35,1,0.79406,0.79475
0.8,1,1,1000,96.825,78.406,79.35,1,0.77687,0.783
0.8,1,10,0.1,96.825,78.406,79.35,1,0.79656,0.806
0.8,1,10,1,96.825,78.406,79.35,1,0.71406,0.7275
0.8,1,10,10,96.825,78.406,79.35,1,0.49531,0.50875
0.8,1,10,100,96.825,78.406,79.35,1,0.54344,0.53125
0.8,1,10,1000,96.825,78.406,79.35,1,0.7725,0.7765
0.8,1,100,0.1,96.825,78.406,79.35,1,0.7325,0.73325
0.8,1,100,1,96.825,78.406,79.35,1,0.74594,0.76325
0.8,1,100,10,96.825,78.406,79.35,1,0.80031,0.799
0.8,1,100,100,96.825,78.406,79.35,0.99984,0.71,0.70775
0.8,1,100,1000,96.825,78.406,79.35,1,0.72281,0.724
0.8,1,1000,0.1,96.825,78.406,79.35,0.98515,0.68063,0.692
0.8,1,1000,1,96.825,78.406,79.35,0.99758,0.72813,0.73775
0.8,1,1000,10,96.825,78.406,79.35,0.99984,0.71125,0.7195
0.8,1,1000,100,96.825,78.406,79.35,0.97234,0.76125,0.7785
0.8,1,1000,1000,96.825,78.406,79.35,0.98031,0.79063,0.7975
0.8,10,0.1,0.1,96.825,78.406,79.35,1,0.72594,0.72175
0.8,10,0.1,1,96.825,78.406,79.35,1,0.50938,0.49475
0.8,10,0.1,10,96.825,78.406,79.35,1,0.4925,0.50575
0.8,10,0.1,100,96.825,78.406,79.35,1,0.74031,0.742
0.8,10,0.1,1000,96.825,78.406,79.35,1,0.70562,0.707
0.8,10,1,0.1,96.825,78.406,79.35,1,0.61219,0.63225
0.8,10,1,1,96.825,78.406,79.35,1,0.69969,0.69925
0.8,10,1,10,96.825,78.406,79.35,1,0.4925,0.5065
0.8,10,1,100,96.825,78.406,79.35,1,0.5075,0.4945
0.8,10,1,1000,96.825,78.406,79.35,1,0.49219,0.50575
0.8,10,10,0.1,96.825,78.406,79.35,1,0.79,0.80075
0.8,10,10,1,96.825,78.406,79.35,1,0.49562,0.5095
0.8,10,10,10,96.825,78.406,79.35,1,0.67094,0.6775
0.8,10,10,100,96.825,78.406,79.35,1,0.78125,0.79075
0.8,10,10,1000,96.825,78.406,79.35,1,0.75344,0.75475
0.8,10,100,0.1,96.825,78.406,79.35,1,0.76187,0.7805
0.8,10,100,1,96.825,78.406,79.35,1,0.745,0.743
0.8,10,100,10,96.825,78.406,79.35,1,0.77812,0.7825
0.8,10,100,100,96.825,78.406,79.35,1,0.83531,0.84275
0.8,10,100,1000,96.825,78.406,79.35,0.559,0.50719,0.494
0.8,10,1000,0.1,96.825,78.406,79.35,0.99758,0.67594,0.6775
0.8,10,1000,1,96.825,78.406,79.35,0.99555,0.74406,0.76325
0.8,10,1000,10,96.825,78.406,79.35,0.98718,0.77344,0.77825
0.8,10,1000,100,96.825,78.406,79.35,0.89043,0.74844,0.7465
0.8,10,1000,1000,96.825,78.406,79.35,0.79353,0.75625,0.74725
