ratio,lambda1,lambda2,lambda3,svm_acc_te,dr_acc_vtr,dr_acc_te,acc_trtr,acc_vtr,acc_te
0.8,1,1,1,97.752,90.424,90.306,1,0.93418,0.93371
0.8,1,1,10,97.752,90.424,90.306,1,0.91696,0.91747
0.8,1,1,100,97.752,90.424,90.306,1,0.75704,0.75626
0.8,1,1,1000,97.752,90.424,90.306,1,0.92284,0.92251
0.8,1,10,1,97.752,90.424,90.306,1,0.93514,0.93385
0.8,1,10,10,97.752,90.424,90.306,1,0.90815,0.9103
0.8,1,10,100,97.752,90.424,90.306,1,0.90053,0.90117
0.8,1,10,1000,97.752,90.424,90.306,1,0.84045,0.84018
0.8,1,100,1,97.752,90.424,90.306,1,0.89075,0.89046
0.8,1,100,10,97.752,90.424,90.306,1,0.89532,0.89487
0.8,1,100,100,97.752,90.424,90.306,1,0.88772,0.88587
0.8,1,100,1000,97.752,90.424,90.306,1,0.88805,0.8888
0.8,1,1000,1,97.752,90.424,90.306,1,0.68019,0.68071
0.8,1,1000,10,97.752,90.424,90.306,0.99987,0.83682,0.83659
0.8,1,1000,100,97.752,90.424,90.306,0.99857,0.88082,0.88011
0.8,1,1000,1000,97.752,90.424,90.306,0.99389,0.91058,0.90974
0.8,10,1,1,97.752,90.424,90.306,1,0.91586,0.91457
0.8,10,1,10,97.752,90.424,90.306,1,0.92944,0.92898
0.8,10,1,100,97.752,90.424,90.306,1,0.90626,0.90608
0.8,10,1,1000,97.752,90.424,90.306,1,0.92284,0.92253
0.8,10,10,1,97.752,90.424,90.306,1,0.91208,0.91114
0.8,10,10,10,97.752,90.424,90.306,1,0.9042,0.90239
0.8,10,10,100,97.752,90.424,90.306,1,0.90423,0.90402
0.8,10,10,1000,97.752,90.424,90.306,1,0.91304,0.91226
0.8,10,100,1,97.752,90.424,90.306,1,0.85241,0.85222
0.8,10,100,10,97.752,90.424,90.306,1,0.89805,0.89746
0.8,10,100,100,97.752,90.424,90.306,1,0.90023,0.90051
0.8,10,100,1000,97.752,90.424,90.306,1,0.93189,0.92984
0.8,10,1000,1,97.752,90.424,90.306,1,0.55714,0.55745
0.8,10,1000,10,97.752,90.424,90.306,0.9973,0.87148,0.87169
0.8,10,1000,100,97.752,90.424,90.306,0.99156,0.86564,0.86529
0.8,10,1000,1000,97.752,90.424,90.306,0.95268,0.87702,0.87756
0.8,100,1,1,97.752,90.424,90.306,1,0.9107,0.91052
0.8,100,1,10,97.752,90.424,90.306,1,0.90143,0.89847
0.8,100,1,100,97.752,90.424,90.306,1,0.91795,0.91737
0.8,100,1,1000,97.752,90.424,90.306,1,0.92298,0.92267
0.8,100,10,1,97.752,90.424,90.306,1,0.93445,0.93365
0.8,100,10,10,97.752,90.424,90.306,1,0.77934,0.77675
0.8,100,10,100,97.752,90.424,90.306,1,0.91928,0.91969
0.8,100,10,1000,97.752,90.424,90.306,1,0.91506,0.91446
0.8,100,100,1,97.752,90.424,90.306,1,0.89455,0.89507
0.8,100,100,10,97.752,90.424,90.306,1,0.92415,0.92297
0.8,100,100,100,97.752,90.424,90.306,0.99903,0.90643,0.90605
0.8,100,100,1000,97.752,90.424,90.306,1,0.91854,0.9177
0.8,100,1000,1,97.752,90.424,90.306,1,0.78581,0.78642
0.8,100,1000,10,97.752,90.424,90.306,0.98585,0.91701,0.91537
0.8,100,1000,100,97.752,90.424,90.306,0.9854,0.92041,0.92029
0.8,100,1000,1000,97.752,90.424,90.306,0.7229,0.69438,0.69428
0.8,1000,1,1,97.752,90.424,90.306,1,0.90274,0.90228
0.8,1000,1,10,97.752,90.424,90.306,1,0.91644,0.91454
0.8,1000,1,100,97.752,90.424,90.306,1,0.92496,0.92534
0.8,1000,1,1000,97.752,90.424,90.306,1,0.92212,0.92197
0.8,1000,10,1,97.752,90.424,90.306,1,0.92763,0.92607
0.8,1000,10,10,97.752,90.424,90.306,1,0.89598,0.8938
0.8,1000,10,100,97.752,90.424,90.306,1,0.93901,0.93709
0.8,1000,10,1000,97.752,90.424,90.306,0.99387,0.81949,0.81883
0.8,1000,100,1,97.752,90.424,90.306,1,0.90249,0.90229
0.8,1000,100,10,97.752,90.424,90.306,1,0.92444,0.92348
0.8,1000,100,100,97.752,90.424,90.306,1,0.82197,0.82267
0.8,1000,100,1000,97.752,90.424,90.306,0.91871,0.90085,0.90033
0.8,1000,1000,1,97.752,90.424,90.306,0.99181,0.81917,0.82162
0.8,1000,1000,10,97.752,90.424,90.306,0.97459,0.91729,0.91578
0.8,1000,1000,100,97.752,90.424,90.306,0.94952,0.90985,0.91046
0.8,1000,1000,1000,97.752,90.424,90.306,0.84861,0.84363,0.8415
0.4,1,1,1,97.673,90.335,90.268,1,0.91889,0.91864
0.4,1,1,10,97.673,90.335,90.268,1,0.81348,0.81334
0.4,1,1,100,97.673,90.335,90.268,1,0.89101,0.89155
0.4,1,1,1000,97.673,90.335,90.268,1,0.9231,0.92277
0.4,1,10,1,97.673,90.335,90.268,1,0.90948,0.90949
0.4,1,10,10,97.673,90.335,90.268,1,0.8727,0.87181
0.4,1,10,100,97.673,90.335,90.268,1,0.8969,0.89506
0.4,1,10,1000,97.673,90.335,90.268,1,0.74133,0.74134
0.4,1,100,1,97.673,90.335,90.268,1,0.86433,0.86386
0.4,1,100,10,97.673,90.335,90.268,1,0.85123,0.84977
