ratio,lambda1,lambda2,lambda3,svm_acc_te,dr_acc_vtr,dr_acc_te,acc_trtr,acc_vtr,acc_te
0.8,1,1,1,92.88,84.318,84.564,1,0.80779,0.80856
0.8,1,1,10,92.88,84.318,84.564,1,0.80475,0.80697
0.8,1,1,100,92.88,84.318,84.564,1,0.71879,0.72347
0.8,1,1,1000,92.88,84.318,84.564,1,0.60288,0.60559
0.8,1,10,1,92.88,84.318,84.564,1,0.86148,0.86376
0.8,1,10,10,92.88,84.318,84.564,1,0.79954,0.80127
0.8,1,10,100,92.88,84.318,84.564,1,0.85916,0.86067
0.8,1,10,1000,92.88,84.318,84.564,1,0.64477,0.64854
0.8,1,100,1,92.88,84.318,84.564,1,0.65146,0.65269
0.8,1,100,10,92.88,84.318,84.564,1,0.71184,0.71384
0.8,1,100,100,92.88,84.318,84.564,1,0.79282,0.79483
0.8,1,100,1000,92.88,84.318,84.564,1,0.77395,0.77673
0.8,1,1000,1,92.88,84.318,84.564,0.99988,0.7405,0.73956
0.8,1,1000,10,92.88,84.318,84.564,0.97547,0.78687,0.78804
0.8,1,1000,100,92.88,84.318,84.564,0.98445,0.828,0.83204
0.8,1,1000,1000,92.88,84.318,84.564,0.93446,0.85307,0.85443
0.8,10,1,1,92.88,84.318,84.564,1,0.74684,0.74643
0.8,10,1,10,92.88,84.318,84.564,1,0.73675,0.74351
0.8,10,1,100,92.88,84.318,84.564,1,0.72596,0.73167
0.8,10,1,1000,92.88,84.318,84.564,1,0.60288,0.60559
0.8,10,10,1,92.88,84.318,84.564,1,0.83671,0.83959
0.8,10,10,10,92.88,84.318,84.564,1,0.81325,0.81711
0.8,10,10,100,92.88,84.318,84.564,1,0.85761,0.85914
0.8,10,10,1000,92.88,84.318,84.564,1,0.70718,0.71151
0.8,10,100,1,92.88,84.318,84.564,0.99995,0.74689,0.74699
0.8,10,100,10,92.88,84.318,84.564,0.99968,0.85,0.85161
0.8,10,100,100,92.88,84.318,84.564,0.99991,0.82107,0.82484
0.8,10,100,1000,92.88,84.318,84.564,0.99999,0.84921,0.85016
0.8,10,1000,1,92.88,84.318,84.564,0.99679,0.79529,0.79583
0.8,10,1000,10,92.88,84.318,84.564,0.98566,0.84554,0.84846
0.8,10,1000,100,92.88,84.318,84.564,0.93988,0.845,0.84653
0.8,10,1000,1000,92.88,84.318,84.564,0.84941,0.81348,0.8144
0.8,100,1,1,92.88,84.318,84.564,1,0.77277,0.77457
0.8,100,1,10,92.88,84.318,84.564,1,0.70411,0.70084
0.8,100,1,100,92.88,84.318,84.564,1,0.6145,0.61719
0.8,100,1,1000,92.88,84.318,84.564,1,0.60288,0.60559
0.8,100,10,1,92.88,84.318,84.564,1,0.84614,0.84844
0.8,100,10,10,92.88,84.318,84.564,1,0.79991,0.80173
0.8,100,10,100,92.88,84.318,84.564,1,0.87343,0.87481
0.8,100,10,1000,92.88,84.318,84.564,1,0.6922,0.69533
0.8,100,100,1,92.88,84.318,84.564,1,0.80496,0.80697
0.8,100,100,10,92.88,84.318,84.564,1,0.73141,0.73124
0.8,100,100,100,92.88,84.318,84.564,1,0.83979,0.84076
0.8,100,100,1000,92.88,84.318,84.564,0.99996,0.86711,0.86863
0.8,100,1000,1,92.88,84.318,84.564,0.98751,0.82941,0.83353
0.8,100,1000,10,92.88,84.318,84.564,0.9299,0.80464,0.80813
0.8,100,1000,100,92.88,84.318,84.564,0.83641,0.78157,0.7832
0.8,100,1000,1000,92.88,84.318,84.564,0.71426,0.70716,0.71199
0.8,1000,1,1,92.88,84.318,84.564,1,0.81793,0.81791
0.8,1000,1,10,92.88,84.318,84.564,1,0.39705,0.39456
0.8,1000,1,100,92.88,84.318,84.564,1,0.62229,0.626
0.8,1000,1,1000,92.88,84.318,84.564,1,0.60288,0.60559
0.8,1000,10,1,92.88,84.318,84.564,1,0.83691,0.83834
0.8,1000,10,10,92.88,84.318,84.564,1,0.87287,0.87491
0.8,1000,10,100,92.88,84.318,84.564,1,0.8842,0.88367
