alpha,beta,nn,test_acc,vali_acc
0.1,0.2,1,0.8594516594516595,0.7142857142857143
0.1,0.2,2,0.8142857142857143,0.6428571428571429
0.1,0.2,3,0.8598845598845599,0.7857142857142857
0.1,0.2,4,0.8360750360750361,0.7142857142857143
0.1,2,1,0.688023088023088,0.5
0.1,2,2,0.6702741702741702,0.5714285714285714
0.1,2,3,0.6662337662337663,0.42857142857142855
0.1,2,4,0.6832611832611832,0.5714285714285714
0.1,20,1,0.7021645021645022,0.5
0.1,20,2,0.6946608946608946,0.7142857142857143
0.1,20,3,0.6997113997113997,0.42857142857142855
0.1,20,4,0.7154401154401154,0.5714285714285714
0.1,200,1,0.7049062049062049,0.5
0.1,200,2,0.6968253968253968,0.7142857142857143
0.1,200,3,0.7027417027417028,0.5
0.1,200,4,0.7174603174603175,0.5714285714285714
1,0.2,1,0.8415584415584415,0.9285714285714286
1,0.2,2,0.8411255411255412,0.9285714285714286
1,0.2,3,0.8353535353535354,0.8571428571428571
1,0.2,4,0.8516594516594517,0.8571428571428571
1,2,1,0.8365079365079365,1.0
1,2,2,0.7862914862914863,0.7857142857142857
1,2,3,0.835930735930736,0.9285714285714286
1,2,4,0.8183261183261183,0.9285714285714286
1,20,1,0.6972582972582972,0.5
1,20,2,0.6875901875901876,0.7142857142857143
1,20,3,0.6956709956709957,0.42857142857142855
1,20,4,0.706060606060606,0.5714285714285714
1,200,1,0.704040404040404,0.5
1,200,2,0.6962481962481962,0.7142857142857143
1,200,3,0.702020202020202,0.5
1,200,4,0.7171717171717171,0.5714285714285714
10,0.2,1,0.8255411255411256,0.8571428571428571
10,0.2,2,0.8073593073593074,0.9285714285714286
10,0.2,3,0.8202020202020202,0.7857142857142857
10,0.2,4,0.8262626262626263,0.8571428571428571
10,2,1,0.8288600288600289,0.8571428571428571
10,2,2,0.8189033189033189,0.9285714285714286
10,2,3,0.8264069264069264,0.7857142857142857
10,2,4,0.837950937950938,0.9285714285714286
10,20,1,0.8337662337662337,1.0
10,20,2,0.7831168831168831,0.7857142857142857
10,20,3,0.837950937950938,0.7857142857142857
10,20,4,0.8151515151515152,0.7857142857142857
10,200,1,0.6975468975468976,0.5
10,200,2,0.6883116883116883,0.7142857142857143
10,200,3,0.6982683982683983,0.5
10,200,4,0.7082251082251082,0.5714285714285714
100,0.2,1,0.8261183261183261,0.7857142857142857
100,0.2,2,0.8105339105339106,0.9285714285714286
100,0.2,3,0.816017316017316,0.7857142857142857
100,0.2,4,0.8216450216450216,0.8571428571428571
100,2,1,0.825974025974026,0.7857142857142857
100,2,2,0.810966810966811,0.9285714285714286
100,2,3,0.816017316017316,0.7857142857142857
100,2,4,0.8222222222222222,0.8571428571428571
100,20,1,0.8277056277056277,0.8571428571428571
100,20,2,0.8204906204906205,0.9285714285714286
100,20,3,0.8161616161616162,0.7857142857142857
100,20,4,0.8324675324675325,0.9285714285714286
100,200,1,0.8346320346320346,1.0
100,200,2,0.783982683982684,0.8571428571428571
100,200,3,0.8395382395382396,0.7857142857142857
100,200,4,0.8155844155844156,0.7857142857142857
0.1,0.2,1,0.9001503759398496,0.8714285714285714
0.1,0.2,2,0.8969924812030076,0.8857142857142857
0.1,0.2,3,0.9168421052631579,0.9
0.1,0.2,4,0.912781954887218,0.9142857142857143
0.1,2,1,0.8097744360902256,0.8428571428571429
0.1,2,2,0.7981954887218045,0.8142857142857143
0.1,2,3,0.8172932330827067,0.8285714285714286
0.1,2,4,0.8090225563909774,0.8142857142857143
0.1,20,1,0.8603007518796992,0.8285714285714286
0.1,20,2,0.8548872180451128,0.8428571428571429
0.1,20,3,0.8738345864661654,0.8571428571428571
0.1,20,4,0.8760902255639098,0.8714285714285714
0.1,200,1,0.8661654135338346,0.8285714285714286
0.1,200,2,0.8621052631578947,0.8571428571428571
0.1,200,3,0.8798496240601503,0.8571428571428571
0.1,200,4,0.8806015037593985,0.8857142857142857
1,0.2,1,0.9010526315789473,0.9285714285714286
1,0.2,2,0.9046616541353384,0.9
1,0.2,3,0.9135338345864662,0.9142857142857143
1,0.2,4,0.917593984962406,0.9
1,2,1,0.9078195488721804,0.8428571428571429
1,2,2,0.8923308270676692,0.8428571428571429
1,2,3,0.911578947368421,0.8571428571428571
1,2,4,0.904812030075188,0.8857142857142857
1,20,1,0.8505263157894737,0.8285714285714286
1,20,2,0.8401503759398496,0.8571428571428571
1,20,3,0.8569924812030075,0.8571428571428571
1,20,4,0.86,0.8571428571428571
1,200,1,0.8646616541353384,0.8285714285714286
1,200,2,0.8607518796992482,0.8571428571428571
1,200,3,0.8780451127819549,0.8571428571428571
1,200,4,0.88,0.8857142857142857
10,0.2,1,0.8971428571428571,0.9285714285714286
10,0.2,2,0.902406015037594,0.8857142857142857
10,0.2,3,0.9109774436090226,0.9142857142857143
10,0.2,4,0.913984962406015,0.8857142857142857
10,2,1,0.8974436090225564,0.9428571428571428
10,2,2,0.9037593984962407,0.8857142857142857
10,2,3,0.9106766917293233,0.9142857142857143
10,2,4,0.9145864661654135,0.8857142857142857
10,20,1,0.9064661654135339,0.8714285714285714
10,20,2,0.8971428571428571,0.8285714285714286
10,20,3,0.9162406015037594,0.8714285714285714
10,20,4,0.9091729323308271,0.8571428571428571
10,200,1,0.8535338345864661,0.8285714285714286
10,200,2,0.8464661654135338,0.8285714285714286
10,200,3,0.8645112781954887,0.8428571428571429
10,200,4,0.8654135338345864,0.8571428571428571
100,0.2,1,0.8978947368421053,0.9285714285714286
100,0.2,2,0.9010526315789473,0.8857142857142857
100,0.2,3,0.9117293233082707,0.9142857142857143
100,0.2,4,0.9138345864661654,0.8714285714285714
100,2,1,0.8978947368421053,0.9285714285714286
100,2,2,0.9013533834586466,0.8857142857142857
