alpha,beta,nn,test_acc,vali_acc
0.1,0.2,1,0.859451659452,0.714285714286
0.1,0.2,2,0.814285714286,0.642857142857
0.1,0.2,3,0.859884559885,0.785714285714
0.1,0.2,4,0.836075036075,0.714285714286
0.1,2.0,1,0.688023088023,0.5
0.1,2.0,2,0.670274170274,0.571428571429
0.1,2.0,3,0.666233766234,0.428571428571
0.1,2.0,4,0.683261183261,0.571428571429
0.1,20.0,1,0.702164502165,0.5
0.1,20.0,2,0.694660894661,0.714285714286
0.1,20.0,3,0.699711399711,0.428571428571
0.1,20.0,4,0.71544011544,0.571428571429
0.1,200.0,1,0.704906204906,0.5
0.1,200.0,2,0.696825396825,0.714285714286
0.1,200.0,3,0.702741702742,0.5
0.1,200.0,4,0.71746031746,0.571428571429
1.0,0.2,1,0.841558441558,0.928571428571
1.0,0.2,2,0.841125541126,0.928571428571
1.0,0.2,3,0.835353535354,0.857142857143
1.0,0.2,4,0.851659451659,0.857142857143
1.0,2.0,1,0.836507936508,1.0
1.0,2.0,2,0.786291486291,0.785714285714
1.0,2.0,3,0.835930735931,0.928571428571
1.0,2.0,4,0.818326118326,0.928571428571
1.0,20.0,1,0.697258297258,0.5
1.0,20.0,2,0.68759018759,0.714285714286
1.0,20.0,3,0.695670995671,0.428571428571
1.0,20.0,4,0.706060606061,0.571428571429
1.0,200.0,1,0.70404040404,0.5
1.0,200.0,2,0.696248196248,0.714285714286
1.0,200.0,3,0.70202020202,0.5
1.0,200.0,4,0.717171717172,0.571428571429
10.0,0.2,1,0.825541125541,0.857142857143
10.0,0.2,2,0.807359307359,0.928571428571
10.0,0.2,3,0.820202020202,0.785714285714
10.0,0.2,4,0.826262626263,0.857142857143
10.0,2.0,1,0.82886002886,0.857142857143
10.0,2.0,2,0.818903318903,0.928571428571
10.0,2.0,3,0.826406926407,0.785714285714
10.0,2.0,4,0.837950937951,0.928571428571
10.0,20.0,1,0.833766233766,1.0
10.0,20.0,2,0.783116883117,0.785714285714
10.0,20.0,3,0.837950937951,0.785714285714
10.0,20.0,4,0.815151515152,0.785714285714
10.0,200.0,1,0.697546897547,0.5
10.0,200.0,2,0.688311688312,0.714285714286
10.0,200.0,3,0.698268398268,0.5
10.0,200.0,4,0.708225108225,0.571428571429
100.0,0.2,1,0.826118326118,0.785714285714
100.0,0.2,2,0.810533910534,0.928571428571
100.0,0.2,3,0.816017316017,0.785714285714
100.0,0.2,4,0.821645021645,0.857142857143
100.0,2.0,1,0.825974025974,0.785714285714
100.0,2.0,2,0.810966810967,0.928571428571
100.0,2.0,3,0.816017316017,0.785714285714
100.0,2.0,4,0.822222222222,0.857142857143
100.0,20.0,1,0.827705627706,0.857142857143
100.0,20.0,2,0.820490620491,0.928571428571
100.0,20.0,3,0.816161616162,0.785714285714
100.0,20.0,4,0.832467532468,0.928571428571
100.0,200.0,1,0.834632034632,1.0
100.0,200.0,2,0.783982683983,0.857142857143
100.0,200.0,3,0.839538239538,0.785714285714
100.0,200.0,4,0.815584415584,0.785714285714
0.1,0.2,1,0.90015037594,0.871428571429
0.1,0.2,2,0.896992481203,0.885714285714
0.1,0.2,3,0.916842105263,0.9
0.1,0.2,4,0.912781954887,0.914285714286
0.1,2.0,1,0.80977443609,0.842857142857
0.1,2.0,2,0.798195488722,0.814285714286
0.1,2.0,3,0.817293233083,0.828571428571
0.1,2.0,4,0.809022556391,0.814285714286
0.1,20.0,1,0.86030075188,0.828571428571
0.1,20.0,2,0.854887218045,0.842857142857
0.1,20.0,3,0.873834586466,0.857142857143
0.1,20.0,4,0.876090225564,0.871428571429
0.1,200.0,1,0.866165413534,0.828571428571
