alpha,beta,nn,test_acc,vali_acc
0.1,0.2,1,0.918582972583,0.904285714286
0.1,0.2,2,0.917252525253,0.912857142857
0.1,0.2,3,0.913301587302,0.91
0.1,0.2,4,0.913670995671,0.914285714286
0.1,2.0,1,0.913997113997,0.902857142857
0.1,2.0,2,0.913365079365,0.914285714286
0.1,2.0,3,0.908392496392,0.901428571429
0.1,2.0,4,0.908023088023,0.902857142857
0.1,20.0,1,0.915696969697,0.907142857143
0.1,20.0,2,0.914008658009,0.918571428571
0.1,20.0,3,0.910046176046,0.91
0.1,20.0,4,0.908496392496,0.907142857143
0.1,200.0,1,0.915714285714,0.908571428571
0.1,200.0,2,0.914051948052,0.918571428571
0.1,200.0,3,0.910155844156,0.911428571429
0.1,200.0,4,0.908637806638,0.907142857143
1.0,0.2,1,0.918836940837,0.904285714286
1.0,0.2,2,0.918138528139,0.914285714286
1.0,0.2,3,0.91473015873,0.914285714286
1.0,0.2,4,0.914002886003,0.914285714286
1.0,2.0,1,0.921229437229,0.914285714286
1.0,2.0,2,0.923933621934,0.922857142857
1.0,2.0,3,0.91752958153,0.908571428571
1.0,2.0,4,0.917546897547,0.921428571429
1.0,20.0,1,0.915137085137,0.904285714286
1.0,20.0,2,0.9133997114,0.917142857143
1.0,20.0,3,0.909414141414,0.907142857143
1.0,20.0,4,0.908095238095,0.904285714286
1.0,200.0,1,0.915682539683,0.907142857143
1.0,200.0,2,0.914051948052,0.918571428571
1.0,200.0,3,0.910083694084,0.911428571429
1.0,200.0,4,0.908611832612,0.907142857143
10.0,0.2,1,0.919116883117,0.904285714286
10.0,0.2,2,0.918496392496,0.914285714286
10.0,0.2,3,0.914767676768,0.911428571429
10.0,0.2,4,0.91412987013,0.914285714286
10.0,2.0,1,0.91881962482,0.907142857143
10.0,2.0,2,0.918199134199,0.914285714286
10.0,2.0,3,0.913887445887,0.91
10.0,2.0,4,0.911898989899,0.911428571429
10.0,20.0,1,0.912126984127,0.908571428571
10.0,20.0,2,0.910288600289,0.914285714286
10.0,20.0,3,0.90316017316,0.888571428571
10.0,20.0,4,0.905437229437,0.901428571429
10.0,200.0,1,0.91526984127,0.905714285714
10.0,200.0,2,0.913425685426,0.917142857143
10.0,200.0,3,0.909451659452,0.908571428571
10.0,200.0,4,0.908207792208,0.905714285714
100.0,0.2,1,0.919076479076,0.904285714286
100.0,0.2,2,0.91847041847,0.912857142857
100.0,0.2,3,0.914799422799,0.911428571429
100.0,0.2,4,0.914141414141,0.914285714286
100.0,2.0,1,0.919122655123,0.904285714286
100.0,2.0,2,0.91845021645,0.912857142857
100.0,2.0,3,0.914626262626,0.91
100.0,2.0,4,0.914037518038,0.914285714286
100.0,20.0,1,0.918793650794,0.907142857143
100.0,20.0,2,0.918271284271,0.915714285714
100.0,20.0,3,0.913939393939,0.912857142857
100.0,20.0,4,0.911971139971,0.911428571429
100.0,200.0,1,0.912176046176,0.905714285714
100.0,200.0,2,0.910268398268,0.915714285714
100.0,200.0,3,0.903321789322,0.888571428571
100.0,200.0,4,0.905385281385,0.904285714286
0.1,0.2,1,0.946168421053,0.948
0.1,0.2,2,0.947741353383,0.947428571429
0.1,0.2,3,0.943888721805,0.943428571429
0.1,0.2,4,0.94554887218,0.946857142857
0.1,2.0,1,0.941302255639,0.946857142857
0.1,2.0,2,0.943702255639,0.946
0.1,2.0,3,0.937136842105,0.946
0.1,2.0,4,0.939437593985,0.944571428571
0.1,20.0,1,0.942460150376,0.948
0.1,20.0,2,0.944709774436,0.945714285714
0.1,20.0,3,0.938589473684,0.946571428571
0.1,20.0,4,0.940535338346,0.944857142857
0.1,200.0,1,0.942637593985,0.948
0.1,200.0,2,0.94477593985,0.946
0.1,200.0,3,0.938754887218,0.946857142857
0.1,200.0,4,0.940640601504,0.945142857143
1.0,0.2,1,0.946,0.946285714286
1.0,0.2,2,0.947828571429,0.946
1.0,0.2,3,0.943443609023,0.941714285714
1.0,0.2,4,0.944935338346,0.943428571429
1.0,2.0,1,0.945816541353,0.95
1.0,2.0,2,0.948384962406,0.947428571429
1.0,2.0,3,0.942836090226,0.946571428571
1.0,2.0,4,0.945010526316,0.946857142857
1.0,20.0,1,0.94197593985,0.947428571429
1.0,20.0,2,0.944396992481,0.945714285714
1.0,20.0,3,0.938141353383,0.945714285714
1.0,20.0,4,0.940102255639,0.944857142857
1.0,200.0,1,0.942580451128,0.948
1.0,200.0,2,0.944745864662,0.945714285714
1.0,200.0,3,0.938703759398,0.946571428571
1.0,200.0,4,0.940637593985,0.945142857143
10.0,0.2,1,0.946039097744,0.944857142857
10.0,0.2,2,0.947783458647,0.944
10.0,0.2,3,0.943329323308,0.942
10.0,0.2,4,0.944869172932,0.943142857143
10.0,2.0,1,0.945720300752,0.945428571429
10.0,2.0,2,0.947603007519,0.944571428571
10.0,2.0,3,0.943311278195,0.944
10.0,2.0,4,0.944854135338,0.944571428571
10.0,20.0,1,0.939762406015,0.938285714286
10.0,20.0,2,0.942571428571,0.946285714286
10.0,20.0,3,0.934968421053,0.937714285714
10.0,20.0,4,0.937491729323,0.940285714286
10.0,200.0,1,0.94207518797,0.947142857143
10.0,200.0,2,0.944445112782,0.946
10.0,200.0,3,0.938189473684,0.946
10.0,200.0,4,0.940195488722,0.944571428571
100.0,0.2,1,0.946003007519,0.944857142857
100.0,0.2,2,0.947864661654,0.943142857143
100.0,0.2,3,0.943329323308,0.942285714286
100.0,0.2,4,0.944878195489,0.943142857143
100.0,2.0,1,0.946012030075,0.944857142857
100.0,2.0,2,0.947813533835,0.942857142857
100.0,2.0,3,0.943422556391,0.942285714286
100.0,2.0,4,0.944884210526,0.944
100.0,20.0,1,0.945672180451,0.945714285714
100.0,20.0,2,0.947533834586,0.944571428571
100.0,20.0,3,0.943193984962,0.943714285714
100.0,20.0,4,0.944905263158,0.944571428571
100.0,200.0,1,0.939681203008,0.938285714286
100.0,200.0,2,0.942466165414,0.946857142857
100.0,200.0,3,0.934998496241,0.938857142857
100.0,200.0,4,0.937590977444,0.940857142857
0.1,0.2,1,0.95513968254,0.952571428571
0.1,0.2,2,0.956625396825,0.952142857143
0.1,0.2,3,0.952415873016,0.949428571429
0.1,0.2,4,0.953707936508,0.952142857143
0.1,2.0,1,0.95033015873,0.947
0.1,2.0,2,0.952476190476,0.951571428571
0.1,2.0,3,0.94679047619,0.944285714286
0.1,2.0,4,0.94893968254,0.947285714286
0.1,20.0,1,0.951250793651,0.949714285714
0.1,20.0,2,0.953180952381,0.951571428571
0.1,20.0,3,0.947876190476,0.946857142857
0.1,20.0,4,0.950012698413,0.948428571429
0.1,200.0,1,0.95133015873,0.950142857143
0.1,200.0,2,0.95326984127,0.951285714286
0.1,200.0,3,0.948015873016,0.946714285714
0.1,200.0,4,0.950158730159,0.948571428571
1.0,0.2,1,0.955180952381,0.952428571429
1.0,0.2,2,0.956549206349,0.952
1.0,0.2,3,0.952555555556,0.950142857143
1.0,0.2,4,0.953933333333,0.952
1.0,2.0,1,0.955717460317,0.952571428571
1.0,2.0,2,0.957784126984,0.956571428571
1.0,2.0,3,0.95320952381,0.952714285714
1.0,2.0,4,0.954752380952,0.954571428571
1.0,20.0,1,0.951019047619,0.948428571429
1.0,20.0,2,0.952977777778,0.951428571429
1.0,20.0,3,0.947673015873,0.946
1.0,20.0,4,0.949822222222,0.948714285714
1.0,200.0,1,0.951307936508,0.949857142857
1.0,200.0,2,0.953250793651,0.951571428571
1.0,200.0,3,0.947952380952,0.946714285714
1.0,200.0,4,0.950079365079,0.948285714286
10.0,0.2,1,0.955187301587,0.953285714286
10.0,0.2,2,0.956453968254,0.952428571429
10.0,0.2,3,0.95273968254,0.949857142857
10.0,0.2,4,0.953888888889,0.952571428571
10.0,2.0,1,0.955012698413,0.953428571429
10.0,2.0,2,0.956304761905,0.952571428571
10.0,2.0,3,0.952685714286,0.950285714286
10.0,2.0,4,0.953666666667,0.952571428571
10.0,20.0,1,0.949380952381,0.948285714286
10.0,20.0,2,0.951596825397,0.953428571429
10.0,20.0,3,0.945565079365,0.946
10.0,20.0,4,0.947892063492,0.950142857143
10.0,200.0,1,0.951095238095,0.948571428571
10.0,200.0,2,0.953034920635,0.951142857143
10.0,200.0,3,0.947771428571,0.946428571429
10.0,200.0,4,0.949863492063,0.948285714286
100.0,0.2,1,0.955187301587,0.953428571429
100.0,0.2,2,0.956396825397,0.952142857143
100.0,0.2,3,0.952787301587,0.949857142857
100.0,0.2,4,0.953888888889,0.952571428571
100.0,2.0,1,0.955171428571,0.953428571429
100.0,2.0,2,0.956365079365,0.952428571429
100.0,2.0,3,0.95280952381,0.949428571429
100.0,2.0,4,0.953933333333,0.953
100.0,20.0,1,0.955076190476,0.953142857143
100.0,20.0,2,0.956285714286,0.951857142857
100.0,20.0,3,0.952695238095,0.949571428571
100.0,20.0,4,0.953673015873,0.951571428571
100.0,200.0,1,0.949333333333,0.948142857143
100.0,200.0,2,0.951549206349,0.952857142857
100.0,200.0,3,0.94553968254,0.946
100.0,200.0,4,0.947866666667,0.950285714286
0.1,0.2,1,0.9621,0.962785714286
0.1,0.2,2,0.963557142857,0.962214285714
0.1,0.2,3,0.960478571429,0.960142857143
0.1,0.2,4,0.961278571429,0.961142857143
0.1,2.0,1,0.958442857143,0.961857142857
0.1,2.0,2,0.960914285714,0.961285714286
0.1,2.0,3,0.9558,0.956357142857
0.1,2.0,4,0.957460714286,0.958928571429
0.1,20.0,1,0.958975,0.961071428571
0.1,20.0,2,0.961357142857,0.960857142857
0.1,20.0,3,0.956671428571,0.957928571429
0.1,20.0,4,0.958332142857,0.959571428571
0.1,200.0,1,0.959064285714,0.961285714286
0.1,200.0,2,0.961346428571,0.961142857143
0.1,200.0,3,0.956703571429,0.958142857143
0.1,200.0,4,0.958521428571,0.959285714286
1.0,0.2,1,0.962167857143,0.963857142857
1.0,0.2,2,0.963789285714,0.962857142857
1.0,0.2,3,0.96055,0.959714285714
1.0,0.2,4,0.961275,0.960857142857
1.0,2.0,1,0.962985714286,0.963785714286
1.0,2.0,2,0.964685714286,0.964
1.0,2.0,3,0.961014285714,0.959357142857
1.0,2.0,4,0.961964285714,0.960928571429
1.0,20.0,1,0.958746428571,0.960428571429
1.0,20.0,2,0.961314285714,0.9605
1.0,20.0,3,0.956414285714,0.957357142857
1.0,20.0,4,0.958121428571,0.959357142857
1.0,200.0,1,0.95905,0.961357142857
1.0,200.0,2,0.961325,0.961214285714
1.0,200.0,3,0.956660714286,0.958071428571
1.0,200.0,4,0.95845,0.959214285714
10.0,0.2,1,0.962064285714,0.963714285714
10.0,0.2,2,0.963757142857,0.963
10.0,0.2,3,0.9606,0.959428571429
10.0,0.2,4,0.9613,0.960928571429
10.0,2.0,1,0.962067857143,0.964142857143
10.0,2.0,2,0.964064285714,0.963071428571
10.0,2.0,3,0.96055,0.959857142857
10.0,2.0,4,0.961428571429,0.960714285714
10.0,20.0,1,0.958471428571,0.960714285714
10.0,20.0,2,0.960657142857,0.961071428571
10.0,20.0,3,0.955317857143,0.956
10.0,20.0,4,0.956517857143,0.9585
10.0,200.0,1,0.958789285714,0.9605
10.0,200.0,2,0.961325,0.960571428571
10.0,200.0,3,0.956435714286,0.957357142857
10.0,200.0,4,0.95815,0.959357142857
100.0,0.2,1,0.962092857143,0.963714285714
100.0,0.2,2,0.963764285714,0.962928571429
100.0,0.2,3,0.960610714286,0.959285714286
100.0,0.2,4,0.961339285714,0.961
100.0,2.0,1,0.9621,0.963785714286
100.0,2.0,2,0.963810714286,0.963071428571
100.0,2.0,3,0.960589285714,0.959071428571
100.0,2.0,4,0.961321428571,0.961071428571
100.0,20.0,1,0.962025,0.963928571429
100.0,20.0,2,0.964039285714,0.962785714286
100.0,20.0,3,0.960525,0.959071428571
100.0,20.0,4,0.961403571429,0.960714285714
100.0,200.0,1,0.958371428571,0.960928571429
100.0,200.0,2,0.960628571429,0.961214285714
100.0,200.0,3,0.955328571429,0.955785714286
100.0,200.0,4,0.956532142857,0.958214285714
0.1,0.2,1,0.967819047619,0.967464285714
0.1,0.2,2,0.970095238095,0.968178571429
0.1,0.2,3,0.966676190476,0.9655
0.1,0.2,4,0.9677,0.965821428571
0.1,2.0,1,0.965176190476,0.962321428571
0.1,2.0,2,0.967452380952,0.965035714286
0.1,2.0,3,0.96240952381,0.960285714286
0.1,2.0,4,0.963957142857,0.961071428571
0.1,20.0,1,0.96610952381,0.963321428571
0.1,20.0,2,0.968052380952,0.964285714286
0.1,20.0,3,0.963480952381,0.96075
0.1,20.0,4,0.964633333333,0.961142857143
0.1,200.0,1,0.966176190476,0.963214285714
0.1,200.0,2,0.968104761905,0.964357142857
0.1,200.0,3,0.963571428571,0.960714285714
0.1,200.0,4,0.964747619048,0.961071428571
1.0,0.2,1,0.967880952381,0.967464285714
1.0,0.2,2,0.970242857143,0.967821428571
1.0,0.2,3,0.966780952381,0.965607142857
1.0,0.2,4,0.967666666667,0.965392857143
1.0,2.0,1,0.969147619048,0.96675
1.0,2.0,2,0.971057142857,0.968428571429
1.0,2.0,3,0.967485714286,0.9655
1.0,2.0,4,0.968823809524,0.966535714286
1.0,20.0,1,0.965814285714,0.963214285714
1.0,20.0,2,0.967904761905,0.96425
1.0,20.0,3,0.963166666667,0.960285714286
1.0,20.0,4,0.964423809524,0.961
1.0,200.0,1,0.966138095238,0.963321428571
1.0,200.0,2,0.968133333333,0.964357142857
1.0,200.0,3,0.963528571429,0.960642857143
1.0,200.0,4,0.964714285714,0.961178571429
10.0,0.2,1,0.967961904762,0.967285714286
10.0,0.2,2,0.970204761905,0.968107142857
10.0,0.2,3,0.966742857143,0.965642857143
10.0,0.2,4,0.967761904762,0.965535714286
10.0,2.0,1,0.967714285714,0.967464285714
10.0,2.0,2,0.970014285714,0.968392857143
10.0,2.0,3,0.96649047619,0.965464285714
10.0,2.0,4,0.967661904762,0.965714285714
10.0,20.0,1,0.9646,0.962357142857
10.0,20.0,2,0.967080952381,0.965928571429
10.0,20.0,3,0.962166666667,0.961
10.0,20.0,4,0.963376190476,0.961642857143
10.0,200.0,1,0.96589047619,0.963214285714
10.0,200.0,2,0.967985714286,0.964214285714
10.0,200.0,3,0.963261904762,0.96025
10.0,200.0,4,0.964471428571,0.961071428571
100.0,0.2,1,0.967971428571,0.96725
100.0,0.2,2,0.9702,0.968035714286
100.0,0.2,3,0.966714285714,0.965678571429
100.0,0.2,4,0.967738095238,0.965571428571
100.0,2.0,1,0.967966666667,0.967107142857
100.0,2.0,2,0.970242857143,0.968
100.0,2.0,3,0.966647619048,0.965714285714
100.0,2.0,4,0.9677,0.965892857143
100.0,20.0,1,0.967723809524,0.967642857143
100.0,20.0,2,0.969995238095,0.968321428571
100.0,20.0,3,0.966461904762,0.965285714286
100.0,20.0,4,0.967604761905,0.965678571429
100.0,200.0,1,0.964495238095,0.9625
100.0,200.0,2,0.967161904762,0.965785714286
100.0,200.0,3,0.962085714286,0.960464285714
100.0,200.0,4,0.963323809524,0.961535714286
0.1,0.2,1,0.973485714286,0.973214285714
0.1,0.2,2,0.975328571429,0.974589285714
0.1,0.2,3,0.973457142857,0.972589285714
0.1,0.2,4,0.974442857143,0.973196428571
0.1,2.0,1,0.970657142857,0.969982142857
0.1,2.0,2,0.973128571429,0.972285714286
0.1,2.0,3,0.9691,0.968553571429
0.1,2.0,4,0.970642857143,0.969553571429
0.1,20.0,1,0.971671428571,0.971
0.1,20.0,2,0.973928571429,0.972446428571
0.1,20.0,3,0.9704,0.969321428571
0.1,20.0,4,0.971842857143,0.970357142857
0.1,200.0,1,0.971685714286,0.970946428571
0.1,200.0,2,0.973914285714,0.972678571429
0.1,200.0,3,0.970314285714,0.969535714286
0.1,200.0,4,0.971757142857,0.970607142857
1.0,0.2,1,0.973528571429,0.973
1.0,0.2,2,0.975285714286,0.974696428571
1.0,0.2,3,0.973242857143,0.972232142857
1.0,0.2,4,0.974071428571,0.973160714286
1.0,2.0,1,0.974342857143,0.973553571429
1.0,2.0,2,0.975371428571,0.975
1.0,2.0,3,0.973457142857,0.972589285714
1.0,2.0,4,0.974342857143,0.9735
1.0,20.0,1,0.971585714286,0.970910714286
1.0,20.0,2,0.9737,0.972267857143
1.0,20.0,3,0.969971428571,0.969160714286
1.0,20.0,4,0.971485714286,0.970392857143
1.0,200.0,1,0.971671428571,0.970928571429
1.0,200.0,2,0.973885714286,0.972607142857
1.0,200.0,3,0.970385714286,0.969446428571
1.0,200.0,4,0.9718,0.970571428571
10.0,0.2,1,0.973357142857,0.972928571429
