alpha,beta,nn,test_acc,vali_acc
0.1,0.2,1,0.9318642178190585,0.9319484240687679
0.1,0.2,2,0.9241687359284169,0.9247851002865329
0.1,0.2,3,0.9418922342959322,0.9383954154727794
0.1,0.2,4,0.9395872094285942,0.9348137535816619
0.1,2,1,0.9012357655303223,0.9111747851002865
0.1,2,2,0.887323087169612,0.8997134670487106
0.1,2,3,0.914741589627388,0.920487106017192
0.1,2,4,0.9082623268878545,0.916189111747851
0.1,20,1,0.9031353840139575,0.9083094555873925
0.1,20,2,0.8900899857383826,0.8954154727793696
0.1,20,3,0.9161402416511623,0.917621776504298
0.1,20,4,0.9099389718604534,0.91189111747851
0.1,200,1,0.9034206163624913,0.9090257879656161
0.1,200,2,0.8907994469098622,0.8932664756446992
0.1,200,3,0.916347288482839,0.9169054441260746
0.1,200,4,0.9102705363671244,0.914756446991404
1,0.2,1,0.9313082319214091,0.9383954154727794
1,0.2,2,0.9232826334040382,0.9290830945558739
1,0.2,3,0.9405761114288403,0.9405444126074498
1,0.2,4,0.9384520715542267,0.9369627507163324
1,2,1,0.9353753266779119,0.9369627507163324
1,2,2,0.9300138272534442,0.9362464183381088
1,2,3,0.9445910825074385,0.9512893982808023
1,2,4,0.9441118342467043,0.9477077363896849
1,20,1,0.9023057488073088,0.9025787965616046
1,20,2,0.889287860250628,0.8954154727793696
1,20,3,0.9158969978209407,0.9197707736389685
1,20,4,0.9095075036377983,0.914756446991404
1,200,1,0.9033395350857507,0.9083094555873925
1,200,2,0.8907038868337037,0.8932664756446992
1,200,3,0.9163154351241195,0.917621776504298
1,200,4,0.9102039338898018,0.9140401146131805
10,0.2,1,0.9304134421173796,0.9369627507163324
10,0.2,2,0.9229916095357373,0.9312320916905444
10,0.2,3,0.9401026546878732,0.9391117478510028
10,0.2,4,0.9379076686961118,0.9391117478510028
10,2,1,0.9315514757516307,0.9369627507163324
10,2,2,0.9236793525080901,0.9305157593123209
10,2,3,0.940741169742205,0.9405444126074498
10,2,4,0.9384419363946341,0.9434097421203438
10,20,1,0.9394988887521447,0.9383954154727794
10,20,2,0.93400273649309,0.9405444126074498
10,20,3,0.9480109749299588,0.9527220630372493
10,20,4,0.9465486161887456,0.9541547277936963
10,200,1,0.9026503442334561,0.9025787965616046
10,200,2,0.8896860272346218,0.8954154727793696
10,200,3,0.916043233695062,0.917621776504298
10,200,4,0.9097304771488348,0.913323782234957
100,0.2,1,0.9307522460237597,0.9369627507163324
100,0.2,2,0.9228178639427219,0.9333810888252149
100,0.2,3,0.9400881758884553,0.9383954154727794
100,0.2,4,0.9379091165760535,0.9412607449856734
100,2,1,0.9304148899973215,0.9376790830945558
100,2,2,0.922916319778764,0.9333810888252149
100,2,3,0.9401214771271166,0.9383954154727794
100,2,4,0.937940969934773,0.9419770773638968
100,20,1,0.9311648918071713,0.9362464183381088
100,20,2,0.923743059225529,0.9312320916905444
100,20,3,0.940755648541623,0.9412607449856734
100,20,4,0.9383970521164385,0.9419770773638968
100,200,1,0.9397233101431229,0.9405444126074498
100,200,2,0.9343343009997611,0.9391117478510028
100,200,3,0.9482252611613445,0.9505730659025788
100,200,4,0.946793307898909,0.9541547277936963
0.1,0.2,1,0.9406300027611847,0.9445320338254264
0.1,0.2,2,0.936601389041869,0.9362190053031388
0.1,0.2,3,0.9495759393686091,0.9516984377239501
0.1,0.2,4,0.9476099155198194,0.9489752042425111
0.1,2,1,0.9226521254332268,0.9273326644689694
0.1,2,2,0.9149102464093283,0.9165830586211839
0.1,2,3,0.9344407243055168,0.9380822703167551
0.1,2,4,0.9303034738117476,0.9344990683674932
0.1,20,1,0.9226159131750757,0.930199226028379
0.1,20,2,0.9153508288835006,0.9218861975060915
0.1,20,3,0.9343215256224359,0.9392288949405189
0.1,20,4,0.9299956696174627,0.9347857245234341
