alpha,beta,nn,test_acc,vali_acc
0.1,0.2,1,0.9185829725829726,0.9042857142857142
0.1,0.2,2,0.9172525252525252,0.9128571428571428
0.1,0.2,3,0.9133015873015873,0.91
0.1,0.2,4,0.9136709956709956,0.9142857142857143
0.1,2,1,0.913997113997114,0.9028571428571428
0.1,2,2,0.9133650793650794,0.9142857142857143
0.1,2,3,0.9083924963924964,0.9014285714285715
0.1,2,4,0.9080230880230881,0.9028571428571428
0.1,20,1,0.9156969696969697,0.9071428571428571
0.1,20,2,0.914008658008658,0.9185714285714286
0.1,20,3,0.910046176046176,0.91
0.1,20,4,0.9084963924963925,0.9071428571428571
0.1,200,1,0.9157142857142857,0.9085714285714286
0.1,200,2,0.914051948051948,0.9185714285714286
0.1,200,3,0.9101558441558442,0.9114285714285715
0.1,200,4,0.9086378066378067,0.9071428571428571
1,0.2,1,0.9188369408369408,0.9042857142857142
1,0.2,2,0.9181385281385281,0.9142857142857143
1,0.2,3,0.9147301587301587,0.9142857142857143
1,0.2,4,0.914002886002886,0.9142857142857143
1,2,1,0.9212294372294372,0.9142857142857143
1,2,2,0.9239336219336219,0.9228571428571428
1,2,3,0.9175295815295815,0.9085714285714286
1,2,4,0.9175468975468976,0.9214285714285714
1,20,1,0.9151370851370851,0.9042857142857142
1,20,2,0.9133997113997114,0.9171428571428571
1,20,3,0.9094141414141415,0.9071428571428571
1,20,4,0.9080952380952381,0.9042857142857142
1,200,1,0.9156825396825397,0.9071428571428571
1,200,2,0.914051948051948,0.9185714285714286
1,200,3,0.910083694083694,0.9114285714285715
1,200,4,0.9086118326118326,0.9071428571428571
10,0.2,1,0.9191168831168831,0.9042857142857142
10,0.2,2,0.9184963924963925,0.9142857142857143
10,0.2,3,0.9147676767676768,0.9114285714285715
10,0.2,4,0.9141298701298701,0.9142857142857143
10,2,1,0.9188196248196249,0.9071428571428571
10,2,2,0.9181991341991342,0.9142857142857143
10,2,3,0.9138874458874459,0.91
10,2,4,0.9118989898989899,0.9114285714285715
10,20,1,0.9121269841269841,0.9085714285714286
10,20,2,0.9102886002886003,0.9142857142857143
10,20,3,0.9031601731601732,0.8885714285714286
10,20,4,0.9054372294372295,0.9014285714285715
10,200,1,0.9152698412698412,0.9057142857142857
10,200,2,0.9134256854256855,0.9171428571428571
10,200,3,0.9094516594516594,0.9085714285714286
10,200,4,0.9082077922077922,0.9057142857142857
